Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
ONYEDIKACHI COSMETICS STORES,8.4678942,4.5190318,Secondary,0.0,Nigeria,Dead Whitespace
ALAHJA BUKKY,8.4682812,4.5191144,Secondary,0.0,Nigeria,Dead Whitespace
AL HASSAN STORES,8.4683648,4.5192997,Secondary,0.0,Nigeria,Dead Whitespace
ROOTMEDIX STORES,8.4684736,4.6534271,Secondary,0.0,Nigeria,Dead Whitespace
BAMGY PHARMACY,8.469151934,4.52510152,Secondary,0.0,Nigeria,Dead Whitespace
D&F PHARMACY,8.469605,4.5521067,Secondary,712.7936445,Nigeria,High Performer
Harmony store,8.4704736,4.530873,Secondary,444.745,Nigeria,Low Performer
ONE STEP PHARMACY,8.4713969,4.5280643,Secondary,964.709004,Nigeria,High Performer
KASRAB PHARMACY,8.4719196,4.5012671,Secondary,1211.0441805,Nigeria,High Performer
River Of Life Pharmacy Ltd,8.4722656,8.579164,Primary,0.0,Nigeria,Dead Whitespace
liad store,8.472359,4.5608957,Secondary,67.6122,Nigeria,Low Performer
KENNY GHANA,8.473121,4.6683759,Secondary,0.0,Nigeria,Dead Whitespace
RIVERS OF LIFE PHARMACY,8.4734621,8.5798167,Secondary,0.0,Nigeria,Dead Whitespace
HONOURABLE,8.4737583,4.5654062,Secondary,646.3400895,Nigeria,High Performer
ELSHADAI STORES,8.4742896,4.5374399,Secondary,0.0,Nigeria,Dead Whitespace
FIOLU,8.4742914,4.5374369,Secondary,0.0,Nigeria,Dead Whitespace
RANKS MALL TAIWO,8.4746746,4.5308895,Secondary,0.0,Nigeria,Dead Whitespace
SUCCESS 2,8.475246,4.5058076,Secondary,0.0,Nigeria,Dead Whitespace
BARYORBERTH,8.4754058,4.5045672,Secondary,277.5170265,Nigeria,Low Performer
health first super store,8.4754933,4.5375157,Secondary,87.27936,Nigeria,Low Performer
JAY 5,8.4758776,4.5662139,Secondary,185.09484,Nigeria,Low Performer
Tinmars store,8.4764398,4.5378756,Secondary,55.95816,Nigeria,Underperforming
OB PEPPER COSMETICS AND STORES,8.4767498,4.5972681,Secondary,88.5489,Nigeria,Low Performer
omowumi store,8.4770696,4.6170525,Secondary,36.71406,Nigeria,Underperforming
AbleGod,8.477495,4.5616583,Secondary,14.994,Nigeria,Underperforming
Azeemah store,8.4775144,4.6161,Secondary,221.63592,Nigeria,Low Performer
DELIGHT STORE,8.4776294,4.5617091,Secondary,32.86164,Nigeria,Underperforming
Nonso Costmetics Ventures,8.4777967,4.6050067,Primary,4.46958,Nigeria,Underperforming
Mas mini mart,8.477813,4.6148432,Secondary,129.28422,Nigeria,Low Performer
ALHAJA IYA BOLA,8.4780053,4.5026352,Secondary,0.0,Nigeria,Dead Whitespace
iya fatty store,8.4780298,4.5028722,Secondary,46.45386,Nigeria,Underperforming
SODOLA FATE STORES,8.4781074,4.502885,Secondary,0.0,Nigeria,Dead Whitespace
MUMMY MUINAT STORES,8.4782788,4.6471589,Secondary,0.0,Nigeria,Dead Whitespace
ADEWOLE PHARMACY 2,8.4783509,4.5351493,Secondary,1206.2408085,Nigeria,High Performer
mummy Ramat store,8.4784037,4.5023166,Secondary,60.13946,Nigeria,Underperforming
AKOREDE,8.4784094,4.5350418,Secondary,1355.767371,Nigeria,High Performer
ALH KAMAL MMK STORE,8.4784904,4.5624802,Secondary,0.0,Nigeria,Dead Whitespace
MOSAAJ PHARMACY,8.4785056,4.5347947,Secondary,869.7736215,Nigeria,High Performer
MOJLAT PHARMACY,8.4785625,4.5344436,Secondary,744.5872035,Nigeria,High Performer
Mummy Twins,8.4785862,4.5031694,Secondary,82.12854,Nigeria,Low Performer
Al barka cosmetics,8.4786018,4.503285,Secondary,185.15028,Nigeria,Low Performer
ALUBARIKA SUPERMARKET,8.4786265,4.5032327,Secondary,0.0,Nigeria,Dead Whitespace
